,year,month,passengers,Status
0,1949,January,112,Processed
1,1949,February,118,Processed
2,1949,March,132,Processed
3,1949,April,129,Processed
4,1949,May,121,Processed
5,1949,June,135,Processed
6,1949,July,148,Processed
7,1949,August,148,Processed
8,1949,September,136,Processed
9,1949,October,119,Processed
10,1949,November,104,Processed
11,1949,December,118,Processed
12,1950,January,115,Processed
13,1950,February,126,Processed
14,1950,March,141,Processed
15,1950,April,135,Processed
16,1950,May,125,Processed
17,1950,June,149,Processed
18,1950,July,170,Processed
19,1950,August,170,Processed
20,1950,September,158,Processed
21,1950,October,133,Processed
22,1950,November,114,Processed
23,1950,December,140,Processed
24,1951,January,145,Processed
25,1951,February,150,Processed
26,1951,March,178,Processed
27,1951,April,163,Processed
28,1951,May,172,Processed
29,1951,June,178,Processed
30,1951,July,199,Processed
31,1951,August,199,Processed
32,1951,September,184,Processed
33,1951,October,162,Processed
34,1951,November,146,Processed
35,1951,December,166,Processed
36,1952,January,171,Processed
37,1952,February,180,Processed
38,1952,March,193,Processed
39,1952,April,181,Processed
40,1952,May,183,Processed
41,1952,June,218,Processed
42,1952,July,230,Processed
43,1952,August,242,Processed
44,1952,September,209,Processed
45,1952,October,191,Processed
46,1952,November,172,Processed
47,1952,December,194,Processed
48,1953,January,196,Processed
49,1953,February,196,Processed
50,1953,March,236,Processed
51,1953,April,235,Processed
52,1953,May,229,Processed
53,1953,June,243,Processed
54,1953,July,264,Processed
55,1953,August,272,Processed
56,1953,September,237,Processed
57,1953,October,211,Processed
58,1953,November,180,Processed
59,1953,December,201,Processed
60,1954,January,204,Processed
61,1954,February,188,Processed
62,1954,March,235,Processed
63,1954,April,227,Processed
64,1954,May,234,Processed
65,1954,June,264,Processed
66,1954,July,302,Processed
67,1954,August,293,Processed
68,1954,September,259,Processed
69,1954,October,229,Processed
70,1954,November,203,Processed
71,1954,December,229,Processed
72,1955,January,242,Processed
73,1955,February,233,Processed
74,1955,March,267,Processed
75,1955,April,269,Processed
76,1955,May,270,Processed
77,1955,June,315,Processed
78,1955,July,364,Processed
79,1955,August,347,Processed
80,1955,September,312,Processed
81,1955,October,274,Processed
82,1955,November,237,Processed
83,1955,December,278,Processed
84,1956,January,284,Processed
85,1956,February,277,Processed
86,1956,March,317,Processed
87,1956,April,313,Processed
88,1956,May,318,Processed
89,1956,June,374,Processed
90,1956,July,413,Processed
91,1956,August,405,Processed
92,1956,September,355,Processed
93,1956,October,306,Processed
94,1956,November,271,Processed
95,1956,December,306,Processed
96,1957,January,315,Processed
97,1957,February,301,Processed
98,1957,March,356,Processed
99,1957,April,348,Processed
100,1957,May,355,Processed
101,1957,June,422,Processed
102,1957,July,465,Processed
103,1957,August,467,Processed
104,1957,September,404,Processed
105,1957,October,347,Processed
106,1957,November,305,Processed
107,1957,December,336,Processed
108,1958,January,340,Processed
109,1958,February,318,Processed
110,1958,March,362,Processed
111,1958,April,348,Processed
112,1958,May,363,Processed
113,1958,June,435,Processed
114,1958,July,491,Processed
115,1958,August,505,Processed
116,1958,September,404,Processed
117,1958,October,359,Processed
118,1958,November,310,Processed
119,1958,December,337,Processed
120,1959,January,360,Processed
121,1959,February,342,Processed
122,1959,March,406,Processed
123,1959,April,396,Processed
124,1959,May,420,Processed
125,1959,June,472,Processed
126,1959,July,548,Processed
127,1959,August,559,Processed
128,1959,September,463,Processed
129,1959,October,407,Processed
130,1959,November,362,Processed
131,1959,December,405,Processed
132,1960,January,417,Processed
133,1960,February,391,Processed
134,1960,March,419,Processed
135,1960,April,461,Processed
136,1960,May,472,Processed
137,1960,June,535,Processed
138,1960,July,622,Processed
139,1960,August,606,Processed
140,1960,September,508,Processed
141,1960,October,461,Processed
142,1960,November,390,Processed
143,1960,December,432,Processed
